gender,age,customer_type,travel_type,travel_class,flight_distance,departure_delay,arrival_delay,time_convenience,online_booking,checkin_service,online_boarding,gate_location,onboard_service,seat_comfort,legroom_service,cleanliness,food_drink,inflight_service,inflight_wifi_service,inflight_entertainment,baggage_handling,satisfaction
Female,46,Returning,Business,Business,67,0,0,3,3,5,5,3,4,4,4,5,4,4,3,4,4,Satisfied
Male,51,Returning,Business,Business,212,0,0,2,2,3,4,2,5,4,4,5,2,5,2,5,4,Satisfied
Female,54,Returning,Business,Business,1554,59,70,2,2,3,4,2,4,4,4,5,2,4,2,4,4,Satisfied
Female,45,Returning,Business,Business,108,0,0,4,4,5,5,4,4,4,4,3,3,4,4,4,5,Satisfied
Female,54,Returning,Business,Business,1584,0,8,2,2,4,4,2,4,4,4,4,4,4,2,4,4,Satisfied
Male,51,Returning,Business,Business,2077,0,1,1,4,5,5,4,5,5,5,4,2,5,4,5,5,Satisfied
Male,56,Returning,Business,Business,173,30,14,5,0,4,5,3,4,4,3,5,2,4,0,4,3,Satisfied
Female,23,First-time,Business,Economy,173,16,13,0,3,3,3,1,3,4,2,4,4,4,3,4,5,Neutral or Dissatisfied
Male,24,First-time,Business,Business,108,0,0,4,0,5,4,4,4,2,2,4,4,5,0,4,5,Satisfied
Female,40,First-time,Business,Business,212,29,41,3,3,2,3,3,1,4,2,5,5,2,3,5,3,Neutral or Dissatisfied
Male,20,First-time,Business,Economy,108,0,29,5,4,5,4,1,5,3,4,5,5,4,4,5,5,Neutral or Dissatisfied
Male,27,First-time,Business,Business,108,0,0,4,4,5,4,4,3,5,4,5,5,5,4,5,4,Satisfied
Male,44,Returning,Business,Business,1859,0,0,2,4,3,5,2,5,5,5,4,5,5,2,5,5,Satisfied
Female,20,First-time,Business,Economy,67,2,10,0,4,3,4,1,4,5,5,5,5,4,4,5,5,Neutral or Dissatisfied
Male,37,First-time,Business,Business,212,4,1,3,3,3,3,4,4,1,2,3,3,5,2,3,5,Neutral or Dissatisfied
Male,40,Returning,Business,Business,2853,0,0,3,3,5,5,3,4,4,4,5,2,4,3,4,4,Satisfied
Male,36,Returning,Business,Business,3655,40,71,1,1,4,3,1,3,3,3,2,1,3,1,3,1,Neutral or Dissatisfied
Female,56,Returning,Business,Business,2485,0,0,2,2,5,5,2,4,4,5,3,5,4,2,4,5,Satisfied
Female,56,Returning,Business,Business,67,0,0,1,1,3,4,1,5,4,5,4,2,5,1,5,4,Satisfied
Female,43,Returning,Business,Business,2199,0,0,5,0,4,4,1,5,5,5,3,4,5,0,5,5,Satisfied
Female,41,Returning,Business,Business,3997,1,0,1,1,5,4,1,4,5,4,4,4,4,1,4,5,Satisfied
Male,57,Returning,Business,Business,3392,19,34,1,1,3,5,1,4,5,4,5,5,4,1,4,5,Satisfied
Male,42,Returning,Business,Business,3391,0,0,3,3,5,5,3,4,4,4,3,2,4,3,4,5,Satisfied
Male,31,Returning,Business,Economy,173,151,186,5,5,2,2,5,4,2,3,2,2,3,2,1,4,Neutral or Dissatisfied
Female,37,Returning,Business,Business,2423,0,8,4,4,1,4,4,2,4,2,4,3,2,3,2,3,Neutral or Dissatisfied
Male,56,Returning,Business,Business,173,0,3,1,1,5,5,1,3,4,4,5,5,3,1,3,5,Satisfied
Male,24,First-time,Business,Economy,108,0,0,0,0,3,0,1,5,5,5,5,5,5,0,5,4,Satisfied
Male,36,Returning,Business,Business,173,12,8,5,5,2,3,5,3,3,3,3,4,3,1,3,1,Neutral or Dissatisfied
Male,50,Returning,Business,Business,67,0,0,4,4,4,4,4,5,5,5,5,2,5,4,5,5,Satisfied
Male,43,Returning,Business,Business,173,0,0,5,5,2,3,5,2,3,2,4,4,2,4,2,4,Neutral or Dissatisfied
Male,52,Returning,Business,Business,212,0,67,1,3,4,3,1,1,3,1,4,4,1,3,1,3,Neutral or Dissatisfied
Female,49,Returning,Business,Business,3213,68,59,3,3,1,4,3,1,4,1,3,3,1,4,1,4,Neutral or Dissatisfied
Female,47,First-time,Business,Economy,173,0,14,4,1,4,1,1,5,3,5,3,3,4,1,3,1,Neutral or Dissatisfied
Male,53,Returning,Business,Business,3201,7,24,2,2,3,3,2,2,3,1,1,3,2,3,2,3,Neutral or Dissatisfied
Male,70,Returning,Business,Economy,173,0,0,5,5,3,5,5,3,5,2,5,5,4,5,5,1,Satisfied
Female,25,First-time,Business,Economy,212,10,1,2,3,1,3,4,1,3,2,4,4,4,3,4,3,Neutral or Dissatisfied
Female,23,First-time,Business,Economy,108,0,0,5,1,5,1,2,4,2,2,2,2,2,2,2,4,Neutral or Dissatisfied
Male,55,First-time,Business,Economy,108,0,0,0,4,4,4,5,5,5,2,4,4,2,5,4,5,Satisfied
Female,72,First-time,Business,Economy,67,324,296,3,3,2,2,4,4,2,4,2,3,2,3,3,3,Neutral or Dissatisfied
Male,58,Returning,Personal,Economy,173,0,4,4,4,1,4,3,4,2,3,2,2,5,4,2,4,Satisfied
Female,70,Returning,Personal,Economy,108,50,41,4,0,5,4,3,3,4,0,5,4,3,5,3,3,Satisfied
Female,46,Returning,Personal,Economy,173,45,29,1,1,1,3,3,5,4,1,3,1,5,1,5,5,Neutral or Dissatisfied
Female,19,Returning,Personal,Economy,215,0,0,3,2,5,2,3,5,1,2,1,1,5,2,1,2,Neutral or Dissatisfied
Male,39,Returning,Personal,Economy,108,0,7,2,1,2,1,4,3,2,1,2,2,4,1,2,4,Neutral or Dissatisfied
Male,58,Returning,Personal,Economy,215,254,254,2,2,4,4,4,2,4,3,4,2,3,2,3,4,Neutral or Dissatisfied
Female,9,Returning,Personal,Economy,173,0,0,3,5,1,5,5,3,3,4,3,3,3,5,3,3,Satisfied
Male,53,Returning,Personal,Economy,173,0,0,1,3,4,3,1,3,2,1,2,2,1,3,2,1,Neutral or Dissatisfied
Female,27,Returning,Personal,Economy,212,0,13,0,3,5,3,4,3,1,4,1,1,5,3,1,5,Neutral or Dissatisfied
Male,65,Returning,Personal,Economy,67,1,0,5,3,4,3,3,4,5,3,5,5,5,3,5,5,Neutral or Dissatisfied
Female,52,Returning,Personal,Economy,67,2,0,5,2,5,4,1,1,4,2,4,3,1,2,1,1,Neutral or Dissatisfied
Female,53,Returning,Personal,Economy,108,0,0,2,0,1,4,4,1,3,0,3,3,1,2,1,1,Neutral or Dissatisfied
Male,41,Returning,Business,Business,2865,72,78,2,4,4,4,2,5,4,5,3,3,5,2,5,5,Satisfied
Female,32,First-time,Business,Business,173,0,5,4,4,4,4,3,4,5,1,4,4,4,4,4,4,Neutral or Dissatisfied
Female,50,Returning,Business,Business,2035,0,34,5,5,3,5,5,5,4,5,5,4,5,5,5,4,Satisfied
Female,43,Returning,Business,Business,3513,101,123,2,2,2,3,2,1,3,1,1,2,1,1,1,1,Neutral or Dissatisfied
Male,80,Returning,Business,Economy Plus,108,0,0,4,4,3,1,4,3,1,2,1,1,3,1,1,3,Neutral or Dissatisfied
Female,7,Returning,Personal,Economy Plus,173,18,35,5,0,3,0,2,5,2,2,2,2,5,2,2,5,Neutral or Dissatisfied
Female,34,Returning,Personal,Economy Plus,173,0,0,4,0,3,0,2,5,3,5,3,3,4,2,3,4,Neutral or Dissatisfied
Female,18,First-time,Business,Economy Plus,215,0,0,5,3,2,3,3,1,1,4,1,1,5,3,1,1,Neutral or Dissatisfied
Male,44,Returning,Business,Business,562,0,11,4,4,3,4,4,4,5,4,5,3,4,4,4,4,Satisfied
Female,52,Returning,Business,Business,562,27,18,5,5,4,4,5,4,5,4,3,3,4,5,4,4,Satisfied
Female,23,First-time,Business,Economy,562,27,36,4,0,4,0,4,4,5,2,5,5,5,0,5,5,Satisfied
Male,44,Returning,Business,Business,2992,0,0,1,1,3,4,1,4,4,4,3,5,4,1,4,4,Satisfied
Female,51,Returning,Business,Business,1970,0,0,3,3,4,4,3,4,4,5,4,2,4,3,4,4,Satisfied
Male,44,Returning,Business,Business,1964,0,0,1,1,3,4,1,4,5,4,5,4,4,1,4,4,Satisfied
Male,42,Returning,Business,Business,3227,0,0,3,1,3,4,3,4,4,4,5,3,4,3,4,4,Satisfied
Female,55,Returning,Business,Business,2639,0,0,1,1,5,5,1,5,5,5,4,4,5,1,5,5,Satisfied
Male,24,First-time,Business,Business,562,96,95,0,4,3,4,2,5,4,4,5,5,4,4,5,5,Satisfied
Male,47,Returning,Business,Business,3477,0,27,4,4,5,4,4,5,5,5,3,2,5,4,5,5,Satisfied
Male,43,Returning,Business,Business,562,45,51,3,3,2,4,3,4,3,4,1,1,4,4,4,4,Neutral or Dissatisfied
Female,72,Returning,Business,Business,1954,60,145,1,3,1,1,1,5,1,3,1,1,4,1,4,2,Neutral or Dissatisfied
Female,27,First-time,Business,Business,562,0,0,5,5,5,5,3,4,2,5,2,2,5,5,2,4,Satisfied
Female,39,Returning,Business,Business,2046,104,122,2,2,5,5,2,4,5,5,3,3,4,2,4,4,Satisfied
Female,11,First-time,Business,Economy,562,1,2,0,4,1,4,3,3,2,2,2,2,3,4,2,4,Neutral or Dissatisfied
Male,54,Returning,Business,Business,3389,32,40,2,5,3,4,2,4,4,4,3,2,4,4,4,4,Neutral or Dissatisfied
Female,51,Returning,Business,Business,562,0,15,3,3,4,4,3,2,4,3,3,1,2,2,2,2,Neutral or Dissatisfied
Female,12,First-time,Business,Business,562,11,25,2,3,3,3,3,3,2,4,2,2,3,3,2,3,Neutral or Dissatisfied
Female,26,First-time,Business,Business,562,0,8,2,2,1,2,3,1,4,1,3,3,3,2,3,3,Neutral or Dissatisfied
Male,39,Returning,Business,Business,1553,0,0,4,4,5,3,4,5,3,5,5,1,5,4,5,4,Satisfied
Male,32,Returning,Business,Business,562,183,192,5,5,4,4,5,4,4,2,4,4,3,5,4,2,Satisfied
Female,37,Returning,Business,Economy,162,0,21,1,1,3,2,1,3,2,4,2,2,3,2,2,3,Neutral or Dissatisfied
Male,40,Returning,Business,Business,3043,38,29,2,2,1,4,2,1,4,1,2,3,1,4,1,4,Neutral or Dissatisfied
Female,38,Returning,Personal,Economy,562,0,6,1,2,1,2,2,3,4,3,5,5,3,2,5,2,Neutral or Dissatisfied
Male,17,Returning,Personal,Economy,562,3,6,4,4,3,4,3,4,3,2,4,4,4,4,4,5,Neutral or Dissatisfied
Female,33,Returning,Personal,Economy,562,30,41,3,1,1,1,4,2,4,5,4,4,3,1,4,3,Neutral or Dissatisfied
Female,7,Returning,Personal,Economy,562,0,2,5,1,4,1,2,5,5,2,2,2,5,1,2,5,Neutral or Dissatisfied
Male,21,Returning,Personal,Economy,562,103,117,5,3,4,3,3,4,5,3,5,5,5,3,5,1,Neutral or Dissatisfied
Male,66,Returning,Personal,Economy,562,88,84,5,2,5,2,4,3,5,5,5,5,5,2,5,2,Neutral or Dissatisfied
Female,68,Returning,Personal,Economy,562,42,37,1,2,1,3,3,3,3,2,4,4,3,2,3,3,Neutral or Dissatisfied
Male,65,Returning,Personal,Economy,562,7,15,1,2,1,2,4,1,4,1,4,4,3,2,4,4,Neutral or Dissatisfied
Male,67,Returning,Personal,Economy,562,0,0,2,4,1,4,4,4,2,3,2,2,3,4,2,4,Neutral or Dissatisfied
Female,39,Returning,Business,Business,1868,54,49,1,1,3,5,1,4,4,4,4,4,4,1,4,4,Satisfied
Female,28,First-time,Business,Business,562,115,116,3,3,1,3,4,1,5,4,5,5,3,3,5,3,Neutral or Dissatisfied
Male,59,First-time,Business,Business,227,11,5,2,2,4,2,3,4,2,3,2,2,5,2,2,4,Neutral or Dissatisfied
Female,26,First-time,Business,Business,227,38,44,3,3,2,3,3,2,4,1,3,3,3,3,3,3,Neutral or Dissatisfied
Female,33,Returning,Business,Business,227,56,57,1,1,4,4,1,5,5,5,5,5,5,1,5,5,Satisfied
Male,56,First-time,Business,Business,227,0,0,3,3,5,3,1,4,3,3,2,2,5,3,2,4,Neutral or Dissatisfied
Female,43,Returning,Business,Business,2029,4,15,2,2,4,5,2,4,4,4,4,2,4,2,4,4,Satisfied
Female,45,Returning,Business,Business,227,0,16,5,5,4,4,5,4,4,4,4,4,4,5,4,4,Satisfied
Male,45,Returning,Business,Business,2374,0,0,2,2,3,5,2,4,4,4,5,2,4,2,4,4,Satisfied
Female,69,Returning,Business,Business,3261,3,3,5,5,2,4,5,3,3,3,1,4,3,3,3,3,Neutral or Dissatisfied
Male,31,Returning,Business,Business,3538,0,5,4,4,4,4,4,4,4,5,4,4,5,4,4,4,Satisfied
Female,55,Returning,Business,Business,227,7,1,4,4,3,4,4,4,4,4,4,3,4,4,4,4,Satisfied
Male,58,Returning,Business,Business,227,0,0,2,4,4,5,2,4,5,4,4,3,4,2,4,4,Satisfied
Female,39,Returning,Business,Business,227,0,18,0,0,4,5,5,2,4,2,4,2,2,0,2,2,Satisfied
Female,41,Returning,Business,Business,3002,0,0,0,0,4,4,2,1,5,1,5,5,1,0,1,1,Satisfied
Male,16,Returning,Business,Business,227,265,260,1,1,4,4,1,2,4,4,4,3,3,4,4,4,Neutral or Dissatisfied
Male,60,Returning,Business,Business,2371,66,61,4,4,3,4,4,4,5,4,3,2,4,4,4,4,Satisfied
Female,47,Returning,Business,Business,1946,117,136,1,1,2,2,1,1,2,4,2,2,2,2,4,4,Neutral or Dissatisfied
Female,54,Returning,Business,Business,227,58,62,3,3,3,3,3,2,3,2,3,2,2,2,2,2,Neutral or Dissatisfied
Male,37,Returning,Business,Business,3758,41,50,3,3,3,3,3,2,2,2,1,4,2,2,2,2,Neutral or Dissatisfied
Male,21,First-time,Business,Economy,227,166,185,1,2,3,3,3,3,3,4,3,2,2,2,4,4,Neutral or Dissatisfied
Male,36,Returning,Business,Business,1534,11,19,1,5,4,5,5,5,5,5,5,2,5,5,5,5,Satisfied
Female,51,Returning,Business,Business,3424,44,42,4,4,4,3,4,3,3,3,4,5,3,3,3,3,Neutral or Dissatisfied
Female,35,Returning,Business,Business,227,0,10,3,3,4,4,3,5,4,5,3,5,5,3,5,5,Satisfied
Female,41,Returning,Business,Business,2731,0,0,4,4,3,4,4,5,5,5,5,4,5,4,5,5,Satisfied
Female,17,First-time,Business,Business,227,0,11,3,4,4,4,3,1,5,2,5,5,4,4,5,4,Neutral or Dissatisfied
Female,49,First-time,Business,Business,227,4,9,2,2,2,2,3,1,5,5,3,3,3,2,3,4,Neutral or Dissatisfied
Male,60,Returning,Business,Business,3415,0,0,3,3,3,3,3,1,4,2,1,1,1,1,1,1,Neutral or Dissatisfied
Male,22,First-time,Business,Economy,227,0,0,4,1,3,1,3,3,2,2,2,2,4,1,2,3,Neutral or Dissatisfied
Female,46,Returning,Business,Business,227,0,0,4,4,4,3,4,5,5,5,1,5,5,4,5,5,Satisfied
Female,42,Returning,Personal,Economy,227,55,59,4,2,5,4,2,4,5,2,4,4,4,2,4,3,Neutral or Dissatisfied
Male,20,Returning,Personal,Economy,227,49,63,5,2,4,2,5,3,5,2,5,5,4,2,5,5,Neutral or Dissatisfied
Male,14,Returning,Personal,Economy,227,0,0,5,0,3,0,1,1,5,2,5,5,4,3,5,5,Neutral or Dissatisfied
Female,64,Returning,Personal,Economy,227,6,0,4,2,3,5,3,2,4,2,3,5,2,2,2,2,Neutral or Dissatisfied
Male,12,Returning,Personal,Economy,227,134,133,4,4,4,4,1,5,4,4,4,4,5,4,5,4,Neutral or Dissatisfied
Male,29,Returning,Personal,Economy,227,52,56,5,0,3,0,3,4,2,5,2,2,5,2,2,5,Neutral or Dissatisfied
Female,44,Returning,Personal,Economy,227,31,25,3,0,3,4,1,4,2,0,3,2,4,2,4,4,Neutral or Dissatisfied
Female,66,Returning,Personal,Economy,227,0,0,5,0,3,5,3,5,5,0,4,5,5,3,5,1,Neutral or Dissatisfied
Male,37,Returning,Personal,Economy,227,36,43,5,3,3,3,4,3,4,2,4,4,5,3,4,5,Neutral or Dissatisfied
Male,35,Returning,Personal,Economy,227,0,10,3,2,3,2,3,4,4,4,4,4,3,2,4,1,Neutral or Dissatisfied
Female,36,Returning,Personal,Economy,227,0,0,5,3,3,3,2,4,2,4,2,2,5,3,2,5,Neutral or Dissatisfied
Female,49,Returning,Business,Business,1798,15,12,4,4,3,4,4,5,5,5,3,5,5,4,5,5,Satisfied
Male,37,Returning,Business,Business,227,0,0,3,3,5,5,3,5,5,4,4,5,5,3,5,5,Satisfied
Female,57,Returning,Business,Business,227,10,10,1,1,4,5,1,5,4,5,4,2,5,1,5,5,Satisfied
Female,39,Returning,Business,Business,3822,6,9,4,3,4,3,4,3,4,3,2,1,3,3,3,3,Neutral or Dissatisfied
Male,36,First-time,Business,Business,227,0,0,2,2,5,2,3,3,5,4,5,5,4,2,5,4,Neutral or Dissatisfied
Female,56,Returning,Personal,Economy Plus,227,0,17,3,2,1,3,1,4,5,2,4,4,4,2,4,4,Neutral or Dissatisfied
Female,10,Returning,Personal,Economy Plus,227,39,56,4,1,3,1,2,4,1,4,1,1,5,1,1,4,Neutral or Dissatisfied
Male,28,Returning,Personal,Economy Plus,227,0,0,1,2,3,2,4,3,4,3,4,4,4,2,4,4,Neutral or Dissatisfied
Female,36,Returning,Business,Business,213,0,0,4,0,5,4,3,1,4,1,5,3,1,0,1,1,Satisfied
Male,56,Returning,Business,Business,2975,0,13,5,0,3,5,2,5,5,5,5,5,5,0,5,5,Satisfied
Female,56,Returning,Business,Business,213,0,0,4,4,3,5,4,5,4,5,3,3,5,4,5,5,Satisfied
Male,44,Returning,Business,Business,2569,0,0,4,4,3,4,4,4,4,4,3,2,4,4,4,5,Satisfied
Male,26,First-time,Business,Business,213,0,0,0,3,4,3,3,5,2,5,2,2,5,3,2,4,Neutral or Dissatisfied
Male,44,Returning,Business,Business,2497,0,0,4,0,3,5,2,1,4,1,5,4,1,0,1,1,Satisfied
Male,49,Returning,Business,Business,213,19,29,1,1,1,3,1,3,3,2,1,4,3,2,3,2,Neutral or Dissatisfied
Male,42,Returning,Business,Business,3880,0,0,1,1,3,4,1,3,4,4,3,3,3,1,3,5,Satisfied
Male,36,First-time,Business,Business,213,0,0,3,3,5,3,3,3,5,2,5,5,4,3,5,4,Neutral or Dissatisfied
Male,20,First-time,Business,Business,213,0,0,2,4,5,4,1,4,5,4,5,5,5,4,5,5,Satisfied
Female,42,Returning,Business,Business,2888,0,0,0,0,5,4,2,3,5,3,4,5,3,0,3,3,Satisfied
Male,44,Returning,Business,Business,290,0,0,2,2,4,4,2,5,4,5,3,4,5,2,5,5,Satisfied
Male,35,First-time,Business,Business,213,41,29,2,2,4,2,4,4,2,4,2,2,4,2,2,3,Neutral or Dissatisfied
Male,52,Returning,Business,Business,2129,95,85,2,3,2,4,2,2,4,2,3,5,2,2,2,2,Neutral or Dissatisfied
Female,50,Returning,Business,Business,213,0,0,1,1,4,4,1,5,4,5,3,5,5,1,5,5,Satisfied
Female,46,Returning,Business,Business,3556,128,117,2,2,3,4,2,5,4,5,3,3,5,2,5,5,Satisfied
Male,36,Returning,Business,Business,3098,0,0,4,0,5,4,1,2,5,2,4,5,2,0,2,2,Satisfied
Male,23,First-time,Business,Economy,213,21,31,5,5,3,5,4,3,1,5,1,1,4,5,1,4,Satisfied
Male,56,Returning,Business,Business,2136,0,0,2,4,5,4,4,5,5,5,3,5,5,4,5,5,Satisfied
Male,57,First-time,Business,Business,213,0,0,4,4,4,4,5,5,3,3,3,3,5,4,3,4,Satisfied
Female,60,Returning,Business,Business,3756,36,24,4,4,5,4,4,4,5,4,5,2,4,4,4,4,Satisfied
Female,43,Returning,Business,Business,3175,54,55,3,3,3,3,3,1,4,1,1,5,1,1,1,1,Neutral or Dissatisfied
Female,43,Returning,Business,Business,213,65,85,5,5,2,4,5,2,3,2,3,5,2,1,2,1,Neutral or Dissatisfied
Male,38,First-time,Business,Business,213,17,4,3,3,4,3,3,5,5,4,5,5,4,3,5,5,Neutral or Dissatisfied
Female,27,First-time,Business,Business,290,0,0,3,3,4,3,4,4,5,5,5,5,4,3,5,3,Neutral or Dissatisfied
Female,71,Returning,Business,Business,2376,9,8,3,3,1,3,3,4,3,4,1,2,4,2,4,2,Neutral or Dissatisfied
Male,59,Returning,Business,Business,1828,21,19,5,5,3,3,5,4,3,3,2,5,4,4,4,4,Neutral or Dissatisfied
Male,53,Returning,Business,Business,3728,0,0,4,4,2,4,4,3,3,3,1,4,3,3,3,3,Neutral or Dissatisfied
Female,40,Returning,Business,Business,213,0,0,5,0,3,4,5,4,5,1,3,5,4,0,4,1,Satisfied
Female,49,First-time,Business,Business,213,20,21,2,2,3,2,4,4,5,4,5,5,4,2,5,4,Neutral or Dissatisfied
Female,69,Returning,Business,Business,290,0,0,2,3,5,4,2,4,2,4,5,1,4,2,4,4,Satisfied
Female,27,First-time,Business,Economy,213,6,4,2,4,4,4,1,2,2,1,2,2,1,4,2,1,Neutral or Dissatisfied
Male,22,First-time,Business,Economy,213,1,4,0,5,1,5,1,4,3,4,3,3,3,5,3,5,Satisfied
Female,30,Returning,Business,Business,213,25,13,5,5,1,4,5,1,2,2,5,5,4,2,5,3,Neutral or Dissatisfied
Male,16,Returning,Business,Business,213,0,0,5,3,1,2,5,1,3,5,2,2,3,3,2,4,Neutral or Dissatisfied
Male,38,First-time,Business,Business,213,0,0,2,2,1,2,3,1,5,3,3,3,4,2,3,3,Neutral or Dissatisfied
Male,34,Returning,Personal,Economy,213,0,0,4,3,3,3,3,1,4,3,4,4,4,3,4,3,Neutral or Dissatisfied
Female,35,Returning,Personal,Economy,213,0,2,3,0,3,0,4,4,3,3,3,3,4,0,3,4,Satisfied
Male,48,Returning,Personal,Economy,290,0,0,5,2,4,2,1,4,5,3,5,5,4,2,5,4,Neutral or Dissatisfied
Male,17,Returning,Personal,Economy,213,0,3,4,4,4,4,3,3,2,3,3,3,4,4,3,2,Neutral or Dissatisfied
Male,31,Returning,Personal,Economy,290,0,0,5,5,4,5,3,4,2,5,2,2,4,4,2,4,Neutral or Dissatisfied
Male,31,Returning,Personal,Economy,290,25,42,4,3,5,3,3,1,3,4,3,3,4,3,3,4,Neutral or Dissatisfied
Female,36,Returning,Personal,Economy,213,0,0,0,2,5,2,2,4,3,2,3,3,5,2,3,5,Neutral or Dissatisfied
Female,44,Returning,Personal,Economy,213,0,5,5,4,4,4,1,1,1,4,1,1,1,4,1,1,Neutral or Dissatisfied
Female,16,Returning,Personal,Economy,213,192,293,5,1,5,5,1,5,5,4,5,1,3,1,4,4,Neutral or Dissatisfied
Male,35,Returning,Personal,Economy,290,0,24,4,3,4,3,1,4,2,3,2,2,5,3,2,4,Neutral or Dissatisfied
Male,29,Returning,Personal,Economy,290,0,0,5,4,3,4,2,4,3,3,3,3,2,4,3,4,Neutral or Dissatisfied
Male,66,Returning,Personal,Economy,290,0,0,5,3,5,3,4,4,2,3,2,2,4,3,2,4,Neutral or Dissatisfied
Female,56,Returning,Personal,Economy,213,20,8,0,0,3,4,3,5,5,0,5,4,5,3,5,5,Neutral or Dissatisfied
Female,17,Returning,Personal,Economy,213,0,0,4,3,3,3,4,3,4,3,4,4,4,3,4,4,Neutral or Dissatisfied
